,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
0,0,PG10007_text,Carmilla,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],4487,"{'Young women -- Fiction', 'Vampires -- Fiction'}",joseph,M,1864
1,1,PG10012_text,The Mountains of California,"Muir, John",1838.0,1914.0,['en'],90,"{'Mountain ecology -- California', 'Natural history -- Sierra Nevada (Calif. and Nev.)', 'Natural history -- California', 'Muir, John, 1838-1914 -- Travel -- Sierra Nevada (Calif. and Nev.)', 'Naturalists -- United States -- Biography', 'Mountain ecology -- Sierra Nevada (Calif. and Nev.)', 'California -- Description and travel', 'Sierra Nevada (Calif. and Nev.)'}",john,M,1888
2,2,PG10031_text,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809.0,1849.0,['en'],401,"{'Fantasy poetry, American'}",edgar,M,1859
3,3,PG10070_text,Stories of Great Americans for Little Americans,"Eggleston, Edward",1837.0,1902.0,['en'],145,{'United States -- Biography -- Juvenile literature'},edward,M,1887
4,4,PG10110_text,The Postmaster's Daughter,"Tracy, Louis",1863.0,1928.0,['en'],30,"{'Villages -- England -- Fiction', 'Detective and mystery stories'}",louis,M,1913
5,5,PG10140_text,Rhetoric and Poetry in the Renaissance: A Study of Rhetorical Terms in English Renaissance Literary Criticism,"Clark, Donald Lemen",1888.0,1966.0,['en'],76,"{'Poetry -- History and criticism', 'Criticism -- Great Britain -- History -- 17th century', 'Rhetoric -- Terminology', 'Renaissance', 'Criticism -- Great Britain -- History -- 16th century', 'English language -- Early modern, 1500-1700 -- Terms and phrases'}",donald,M,1938
6,6,PG10150_text,Dracula's Guest,"Stoker, Bram",1847.0,1912.0,['en'],779,"{'Short stories', 'Horror tales', 'Gothic fiction'}",bram,M,1897
7,7,PG1015_text,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis",1823.0,1893.0,['en'],410,"{'Parkman, Francis, 1823-1893 -- Travel -- West (U.S.)', 'Oregon National Historic Trail', 'Indians of North America -- West (U.S.)', 'California National Historic Trail', 'West (U.S.) -- Description and travel', 'West (U.S.) -- History -- To 1848', 'Frontier and pioneer life -- West (U.S.)'}",francis,M,1873
8,8,PG1017_text,The Soul of Man under Socialism,"Wilde, Oscar",1854.0,1900.0,['en'],438,{'Socialism'},oscar,M,1904
9,9,PG1018_text,The Water-Babies,"Kingsley, Charles",1819.0,1875.0,['en'],452,"{'Fairy tales -- England', 'Chimney sweeps -- Juvenile fiction'}",charles,M,1869
